Id,CreationDate,PostId,RelatedPostId,LinkTypeId
19,2010-04-26T02:59:48.130,109,32412,1
37,2010-04-26T02:59:48.600,1970,617600,1
42,2010-04-26T02:59:48.647,2154,2451138,1
48,2010-04-26T02:59:48.740,2483,496096,1
52,2010-04-26T02:59:48.757,2572,209329,1
58,2010-04-26T02:59:48.943,3376,2187,1
59,2010-04-26T02:59:48.943,3376,18080,1
63,2010-04-26T02:59:49.083,3859,802573,1
69,2010-04-26T02:59:49.240,4565,583532,1
70,2010-04-26T02:59:49.240,4582,1955663,1
72,2010-04-26T02:59:49.300,4850,1369312,1
74,2010-04-26T02:59:49.333,4952,1607,1
75,2010-04-26T02:59:49.333,4952,173,1
76,2010-04-26T02:59:49.333,4952,6371,1
81,2010-04-26T02:59:49.503,5724,131955,1
84,2010-04-26T02:59:49.583,6173,1732348,1
90,2010-04-26T02:59:49.957,7470,82872,1
96,2010-04-26T02:59:50.113,8170,245395,1
119,2010-04-26T02:59:50.440,9705,305694,1
121,2010-04-26T02:59:50.440,9751,371,1
126,2010-04-26T02:59:50.487,9926,619677,1
128,2010-04-26T02:59:56.213,10199,21280,1
130,2010-04-26T02:59:56.243,10293,98915,1
131,2010-04-26T02:59:56.243,10293,109762,1
134,2010-04-26T02:59:56.290,10524,110314,1
142,2010-04-26T02:59:56.400,11028,397089,1
144,2010-04-26T02:59:56.447,11330,9410,1
149,2010-04-26T02:59:56.617,11743,52176,1
150,2010-04-26T02:59:56.650,11919,155308,1
162,2010-04-26T02:59:57.180,14279,1711,1
164,2010-04-26T02:59:57.227,14413,17370,1
166,2010-04-26T02:59:57.320,14810,81543,1
168,2010-04-26T02:59:57.397,15240,679979,1
170,2010-04-26T02:59:57.413,15266,933331,1
178,2010-04-26T02:59:57.523,15732,290326,1
184,2010-04-26T02:59:57.647,16161,86515,1
185,2010-04-26T02:59:57.680,16167,1209866,1
187,2010-04-26T02:59:57.757,16248,56227,1
197,2010-04-26T02:59:57.880,16860,1383,1
198,2010-04-26T02:59:57.943,17125,384392,1
199,2010-04-26T02:59:57.943,17125,317619,1
206,2010-04-26T02:59:58.023,17489,60784,1
211,2010-04-26T02:59:58.163,18166,28395,1
217,2010-04-26T02:59:58.303,18803,117401,1
218,2010-04-26T02:59:58.303,18803,268231,1
219,2010-04-26T03:00:03.047,20564,1711,1
220,2010-04-26T03:00:03.047,20564,921180,1
221,2010-04-26T03:00:03.077,20702,105852,1
223,2010-04-26T03:00:03.107,20791,440762,1
228,2010-04-26T03:00:03.247,21583,12374,1
229,2010-04-26T03:00:03.293,21817,370962,1
234,2010-04-26T03:00:03.497,22909,803782,1
236,2010-04-26T03:00:03.607,23569,27928,1
237,2010-04-26T03:00:03.637,23689,55434,1
244,2010-04-26T03:00:03.780,24319,1711,1
247,2010-04-26T03:00:03.950,24901,1303899,1
249,2010-04-26T03:00:04.027,25227,11598,1
250,2010-04-26T03:00:04.073,25458,224232,1
254,2010-04-26T03:00:04.230,26086,122784,1
256,2010-04-26T03:00:04.357,26323,6173,1
257,2010-04-26T03:00:04.370,26509,5010,1
258,2010-04-26T03:00:04.370,26509,34898,1
266,2010-04-26T03:00:04.463,26800,453191,1
269,2010-04-26T03:00:04.713,27578,61604,1
270,2010-04-26T03:00:04.713,27578,33497,1
275,2010-04-26T03:00:04.823,28080,301959,1
276,2010-04-26T03:00:04.823,28080,579887,1
283,2010-04-26T03:00:05.010,28950,76595,1
284,2010-04-26T03:00:05.043,29040,381049,1
287,2010-04-26T03:00:05.573,29736,138621,1
288,2010-04-26T03:00:05.573,29736,77485,1
289,2010-04-26T03:00:05.573,29736,237,1
290,2010-04-26T03:00:05.573,29736,10490,1
297,2010-04-26T03:00:06.057,30915,419096,1
309,2010-04-26T03:00:07.320,33513,10490,1
312,2010-04-26T03:00:07.617,34516,319632,1
314,2010-04-26T03:00:07.647,34655,754519,1
317,2010-04-26T03:00:07.710,34920,72312,1
318,2010-04-26T03:00:07.740,35007,923343,1
319,2010-04-26T03:00:07.757,35178,72312,1
321,2010-04-26T03:00:07.850,35563,105349,1
322,2010-04-26T03:00:07.850,35564,877943,1
329,2010-04-26T03:00:08.070,36546,8044,1
330,2010-04-26T03:00:08.117,36772,6937,1
336,2010-04-26T03:00:08.333,37731,62605,1
338,2010-04-26T03:00:08.363,37809,25259,1
339,2010-04-26T03:00:08.380,37887,279169,1
340,2010-04-26T03:00:08.380,37887,1233655,1
349,2010-04-26T03:00:08.537,38508,61605,1
350,2010-04-26T03:00:08.553,38548,551514,1
353,2010-04-26T03:00:08.583,38652,12008,1
355,2010-04-26T03:00:08.647,38746,121392,1
357,2010-04-26T03:00:08.753,39222,556255,1
358,2010-04-26T03:00:08.770,39256,18080,1
363,2010-04-26T03:00:15.307,40122,65008,1
365,2010-04-26T03:00:15.337,40230,170346,1
370,2010-04-26T03:00:15.447,40773,225350,1
373,2010-04-26T03:00:15.540,41290,41568,1
385,2010-04-26T03:00:16.320,42649,810085,1
386,2010-04-26T03:00:16.320,42670,263723,1
398,2010-04-26T03:00:16.493,43458,45600,1
401,2010-04-26T03:00:16.570,43778,134581,1
404,2010-04-26T03:00:16.727,44476,2041783,1
410,2010-04-26T03:00:16.943,45424,173846,1
419,2010-04-26T03:00:17.350,47262,40853,1
420,2010-04-26T03:00:17.367,47315,179332,1
421,2010-04-26T03:00:17.430,47656,73527,1
427,2010-04-26T03:00:17.740,48669,31722,1
429,2010-04-26T03:00:17.770,48794,467855,1
435,2010-04-26T03:00:18.067,50096,1462284,1
439,2010-04-26T03:00:18.147,50339,108699,1
441,2010-04-26T03:00:18.193,50529,16367,1
442,2010-04-26T03:00:18.223,50746,1417021,1
446,2010-04-26T03:00:18.350,51217,222827,1
447,2010-04-26T03:00:18.363,51309,158875,1
449,2010-04-26T03:00:18.427,51561,74326,1
450,2010-04-26T03:00:18.443,51584,107872,1
453,2010-04-26T03:00:18.613,52353,1907318,1
455,2010-04-26T03:00:18.630,52398,1146347,1
457,2010-04-26T03:00:18.677,52580,1305709,1
458,2010-04-26T03:00:18.693,52668,10425,1
460,2010-04-26T03:00:18.753,52952,1206596,1
462,2010-04-26T03:00:18.817,53139,78756,1
463,2010-04-26T03:00:18.817,53178,1103637,1
464,2010-04-26T03:00:18.910,53426,45627,1
465,2010-04-26T03:00:18.957,53598,18557,1
467,2010-04-26T03:00:18.990,53734,18783,1
468,2010-04-26T03:00:18.990,53734,137226,1
469,2010-04-26T03:00:18.990,53757,288942,1
476,2010-04-26T03:00:19.130,54223,19642,1
478,2010-04-26T03:00:19.160,54423,1644,1
480,2010-04-26T03:00:19.363,54795,375913,1
481,2010-04-26T03:00:19.393,54882,421280,1
485,2010-04-26T03:00:19.487,55075,1935,1
492,2010-04-26T03:00:19.567,55437,53065,1
493,2010-04-26T03:00:19.597,55576,43324,1
494,2010-04-26T03:00:19.643,55768,848091,1
499,2010-04-26T03:00:19.987,56672,375913,1
501,2010-04-26T03:00:20.080,56981,86181,1
506,2010-04-26T03:00:20.283,57762,45783,1
509,2010-04-26T03:00:20.423,58362,219872,1
519,2010-04-26T03:00:20.597,58886,14762,1
520,2010-04-26T03:00:20.720,59267,407770,1
527,2010-04-26T03:00:20.907,59893,2525,1
539,2010-04-26T03:00:21.127,60793,45191,1
550,2010-04-26T03:00:21.233,61217,56279,1
551,2010-04-26T03:00:21.233,61219,1276308,1
553,2010-04-26T03:00:21.267,61278,266373,1
555,2010-04-26T03:00:21.280,61354,347502,1
557,2010-04-26T03:00:21.343,61559,18450,1
560,2010-04-26T03:00:21.500,62110,42826,1
561,2010-04-26T03:00:21.500,62110,258840,1
562,2010-04-26T03:00:21.500,62126,61959,1
571,2010-04-26T03:00:21.593,62389,61669,1
572,2010-04-26T03:00:21.623,62491,67559,1
574,2010-04-26T03:00:21.640,62542,3626,1
577,2010-04-26T03:00:21.720,62689,47981,1
578,2010-04-26T03:00:21.720,62694,43649,1
579,2010-04-26T03:00:21.720,62694,664,1
580,2010-04-26T03:00:21.750,62892,38674,1
581,2010-04-26T03:00:21.780,62987,37791,1
582,2010-04-26T03:00:21.780,62987,51827,1
583,2010-04-26T03:00:21.780,62987,11194,1
589,2010-04-26T03:00:21.860,63399,81934,1
590,2010-04-26T03:00:21.890,63536,56704,1
591,2010-04-26T03:00:21.890,63536,102161,1
592,2010-04-26T03:00:21.967,63632,291455,1
593,2010-04-26T03:00:22.047,63671,51526,1
594,2010-04-26T03:00:22.187,63756,62603,1
595,2010-04-26T03:00:22.203,63801,63297,1
597,2010-04-26T03:00:22.263,63995,41792,1
604,2010-04-26T03:00:22.437,64621,881563,1
607,2010-04-26T03:00:22.483,64843,66840,1
610,2010-04-26T03:00:22.500,64898,63297,1
616,2010-04-26T03:00:22.547,65039,38998,1
618,2010-04-26T03:00:22.623,65491,28932,1
622,2010-04-26T03:00:22.670,65718,650,1
623,2010-04-26T03:00:22.717,66037,6327,1
624,2010-04-26T03:00:22.717,66037,4002,1
625,2010-04-26T03:00:22.717,66037,8506,1
626,2010-04-26T03:00:22.717,66037,24692,1
627,2010-04-26T03:00:22.717,66037,53887,1
629,2010-04-26T03:00:22.763,66288,80799,1
630,2010-04-26T03:00:22.780,66402,412019,1
631,2010-04-26T03:00:22.793,66452,63297,1
632,2010-04-26T03:00:22.793,66452,63801,1
633,2010-04-26T03:00:22.793,66452,64898,1
634,2010-04-26T03:00:22.810,66542,123234,1
635,2010-04-26T03:00:22.827,66671,18224,1
636,2010-04-26T03:00:22.857,66776,1649264,1
637,2010-04-26T03:00:22.873,66819,63694,1
638,2010-04-26T03:00:22.903,66880,63668,1
639,2010-04-26T03:00:22.967,67004,64723,1
640,2010-04-26T03:00:22.967,67004,83547,1
644,2010-04-26T03:00:23.030,67135,62491,1
645,2010-04-26T03:00:23.060,67302,5119,1
651,2010-04-26T03:00:23.233,68243,41785,1
654,2010-04-26T03:00:23.280,68460,68985,1
656,2010-04-26T03:00:23.340,68691,2861,1
658,2010-04-26T03:00:23.373,68920,3247,1
659,2010-04-26T03:00:23.387,68985,377604,1
660,2010-04-26T03:00:23.403,69030,69391,1
661,2010-04-26T03:00:23.403,69076,353880,1
662,2010-04-26T03:00:23.433,69188,577481,1
672,2010-04-26T03:00:23.467,69281,54886,1
673,2010-04-26T03:00:23.467,69281,20529,1
674,2010-04-26T03:00:23.467,69281,48390,1
675,2010-04-26T03:00:23.467,69296,20084,1
676,2010-04-26T03:00:23.480,69375,484,1
678,2010-04-26T03:00:23.527,69591,890686,1
679,2010-04-26T03:00:23.543,69722,36778,1
685,2010-04-26T03:00:23.637,70143,56837,1
686,2010-04-26T03:00:23.653,70153,1159756,1
690,2010-04-26T03:00:23.700,70450,767276,1
693,2010-04-26T03:00:23.747,70653,1990722,1
694,2010-04-26T03:00:23.777,70781,140098,1
695,2010-04-26T03:00:23.793,70842,17140,1
696,2010-04-26T03:00:23.810,70880,73134,1
702,2010-04-26T03:00:23.903,71029,406760,1
705,2010-04-26T03:00:23.963,71077,71000,1
713,2010-04-26T03:00:24.417,71599,80788,1
714,2010-04-26T03:00:24.417,71608,16829,1
715,2010-04-26T03:00:24.417,71608,265,1
718,2010-04-26T03:00:24.463,71842,61692,1
720,2010-04-26T03:00:24.527,72116,47882,1
721,2010-04-26T03:00:24.527,72123,64333,1
731,2010-04-26T03:00:24.887,72732,1023770,1
732,2010-04-26T03:00:24.887,72732,848647,1
735,2010-04-26T03:00:24.947,72961,56628,1
736,2010-04-26T03:00:24.980,73078,2364,1
737,2010-04-26T03:00:24.993,73124,40022,1
739,2010-04-26T03:00:25.010,73185,672,1
742,2010-04-26T03:00:25.057,73474,27655,1
744,2010-04-26T03:00:25.087,73580,46663,1
745,2010-04-26T03:00:25.167,74047,53318,1
750,2010-04-26T03:00:25.243,74460,42550,1
751,2010-04-26T03:00:25.260,74560,69646,1
763,2010-04-26T03:00:25.307,74723,1114887,1
765,2010-04-26T03:00:25.323,74844,2732,1
766,2010-04-26T03:00:25.337,74852,19164,1
770,2010-04-26T03:00:25.383,75153,4101,1
771,2010-04-26T03:00:25.383,75153,17770,1
772,2010-04-26T03:00:25.383,75153,53881,1
773,2010-04-26T03:00:25.430,75311,60509,1
774,2010-04-26T03:00:25.430,75311,54607,1
775,2010-04-26T03:00:25.430,75333,11,1
776,2010-04-26T03:00:25.447,75401,9033,1
783,2010-04-26T03:00:25.493,75614,39059,1
784,2010-04-26T03:00:25.510,75650,78018,1
787,2010-04-26T03:00:25.587,75976,35007,1
788,2010-04-26T03:00:25.587,75978,163803,1
789,2010-04-26T03:00:25.603,76079,46918,1
792,2010-04-26T03:00:25.680,76395,22907,1
793,2010-04-26T03:00:25.680,76395,50346,1
796,2010-04-26T03:00:25.773,76812,68617,1
797,2010-04-26T03:00:25.807,76934,3748,1
798,2010-04-26T03:00:25.820,77013,10490,1
799,2010-04-26T03:00:25.837,77079,76996,1
807,2010-04-26T03:00:25.993,77960,77826,1
808,2010-04-26T03:00:26.010,78064,40122,1
809,2010-04-26T03:00:26.010,78064,81306,1
810,2010-04-26T03:00:26.040,78194,1024081,1
820,2010-04-26T03:00:26.210,78978,55391,1
821,2010-04-26T03:00:26.210,78978,2861,1
824,2010-04-26T03:00:26.227,79064,5606,1
827,2010-04-26T03:00:26.257,79197,61590,1
829,2010-04-26T03:00:26.273,79258,33242,1
830,2010-04-26T03:00:26.303,79454,59195,1
833,2010-04-26T03:00:26.353,79753,559,1
835,2010-04-26T03:00:26.383,79884,40518,1
836,2010-04-26T03:00:26.400,79918,4080,1
839,2010-04-26T03:00:26.413,79974,9603,1
841,2010-04-26T03:00:32.840,80021,238177,1
843,2010-04-26T03:00:32.857,80105,759855,1
844,2010-04-26T03:00:32.857,80105,995881,1
846,2010-04-26T03:00:32.873,80175,25653,1
847,2010-04-26T03:00:32.920,80348,687490,1
849,2010-04-26T03:00:32.933,80394,51135,1
851,2010-04-26T03:00:32.983,80619,41590,1
854,2010-04-26T03:00:32.997,80697,80609,1
855,2010-04-26T03:00:33.013,80788,71599,1
856,2010-04-26T03:00:33.030,80834,2861,1
857,2010-04-26T03:00:33.060,80908,1113656,1
858,2010-04-26T03:00:33.060,80918,80564,1
861,2010-04-26T03:00:33.107,81191,68645,1
862,2010-04-26T03:00:33.137,81305,71608,1
863,2010-04-26T03:00:33.170,81495,1613935,1
864,2010-04-26T03:00:33.200,81557,268062,1
865,2010-04-26T03:00:33.200,81561,50094,1
870,2010-04-26T03:00:33.277,81911,2005747,1
871,2010-04-26T03:00:33.277,81963,1998882,1
873,2010-04-26T03:00:33.357,82308,80836,1
874,2010-04-26T03:00:33.357,82345,6936,1
881,2010-04-26T03:00:33.420,82632,71955,1
887,2010-04-26T03:00:33.467,82882,50346,1
888,2010-04-26T03:00:33.467,82882,15142,1
889,2010-04-26T03:00:33.560,83048,75549,1
890,2010-04-26T03:00:33.573,83050,980813,1
895,2010-04-26T03:00:33.637,83279,73086,1
901,2010-04-26T03:00:33.700,83752,73445,1
908,2010-04-26T03:00:33.823,83914,94906,1
909,2010-04-26T03:00:33.857,83982,178863,1
910,2010-04-26T03:00:33.933,84143,79999,1
912,2010-04-26T03:00:34.057,84263,86790,1
913,2010-04-26T03:00:34.057,84263,56981,1
914,2010-04-26T03:00:34.057,84263,57152,1
915,2010-04-26T03:00:34.057,84263,67659,1
917,2010-04-26T03:00:34.137,84322,70573,1
918,2010-04-26T03:00:34.153,84339,66922,1
921,2010-04-26T03:00:34.213,84353,5833,1
924,2010-04-26T03:00:34.293,84619,28395,1
925,2010-04-26T03:00:34.307,84798,72983,1
926,2010-04-26T03:00:34.307,84798,72562,1
930,2010-04-26T03:00:34.400,85139,30101,1
931,2010-04-26T03:00:34.417,85195,77172,1
937,2010-04-26T03:00:34.493,85614,79493,1
939,2010-04-26T03:00:34.527,85770,83953,1
940,2010-04-26T03:00:34.543,85868,303853,1
942,2010-04-26T03:00:34.590,86083,73147,1
943,2010-04-26T03:00:34.590,86103,3088,1
944,2010-04-26T03:00:34.590,86103,1711,1
945,2010-04-26T03:00:34.590,86103,4769,1
946,2010-04-26T03:00:34.590,86103,22873,1
947,2010-04-26T03:00:34.603,86177,72719,1
948,2010-04-26T03:00:34.620,86181,56981,1
949,2010-04-26T03:00:34.620,86181,57152,1
950,2010-04-26T03:00:34.620,86181,67659,1
951,2010-04-26T03:00:34.620,86181,84263,1
952,2010-04-26T03:00:34.637,86221,26458,1
957,2010-04-26T03:00:34.697,86553,18006,1
963,2010-04-26T03:00:34.730,86654,137975,1
964,2010-04-26T03:00:34.730,86654,11831,1
969,2010-04-26T03:00:34.760,86707,75102,1
978,2010-04-26T03:00:34.807,86947,73713,1
980,2010-04-26T03:00:34.870,87221,2262,1
982,2010-04-26T03:00:34.900,87365,13,1
983,2010-04-26T03:00:34.900,87371,87393,1
985,2010-04-26T03:00:34.917,87431,87393,1
986,2010-04-26T03:00:34.933,87437,49724,1
988,2010-04-26T03:00:34.947,87587,74461,1
991,2010-04-26T03:00:34.963,87666,87458,1
993,2010-04-26T03:00:34.993,87794,91384,1
994,2010-04-26T03:00:35.027,87885,91527,1
1001,2010-04-26T03:00:35.057,88010,808422,1
1003,2010-04-26T03:00:35.073,88040,77723,1
1004,2010-04-26T03:00:35.087,88136,245913,1
1008,2010-04-26T03:00:35.213,88485,85815,1
1009,2010-04-26T03:00:35.243,88489,69830,1
1010,2010-04-26T03:00:35.260,88541,1721327,1
1018,2010-04-26T03:00:35.510,89327,55622,1
1019,2010-04-26T03:00:35.510,89327,371654,1
1021,2010-04-26T03:00:35.540,89456,62222,1
1027,2010-04-26T03:00:35.570,89603,69250,1
1028,2010-04-26T03:00:35.617,89859,90238,1
1029,2010-04-26T03:00:35.650,90037,550887,1
1031,2010-04-26T03:00:35.663,90117,79126,1
1033,2010-04-26T03:00:35.697,90312,52997,1
1038,2010-04-26T03:00:35.773,90657,90851,1
1039,2010-04-26T03:00:35.773,90661,74526,1
1044,2010-04-26T03:00:35.807,90791,69128,1
1048,2010-04-26T03:00:35.837,90871,90751,1
1050,2010-04-26T03:00:35.853,90940,84234,1
1054,2010-04-26T03:00:35.913,91216,534742,1
1056,2010-04-26T03:00:35.947,91302,437,1
1061,2010-04-26T03:00:36.007,91617,46003,1
1063,2010-04-26T03:00:36.023,91699,74847,1
1065,2010-04-26T03:00:36.070,91834,50179,1
1066,2010-04-26T03:00:36.087,91933,9673,1
1067,2010-04-26T03:00:36.087,91935,60641,1
1068,2010-04-26T03:00:36.103,91981,190597,1
1069,2010-04-26T03:00:36.103,91982,84282,1
1070,2010-04-26T03:00:36.117,92052,1646274,1
1073,2010-04-26T03:00:36.197,92475,80541,1
1075,2010-04-26T03:00:36.210,92533,6209,1
1076,2010-04-26T03:00:36.210,92533,89909,1
1077,2010-04-26T03:00:36.273,92786,90078,1
1078,2010-04-26T03:00:36.290,92835,62816,1
1079,2010-04-26T03:00:36.290,92842,7089,1
1084,2010-04-26T03:00:36.367,92925,55075,1
1085,2010-04-26T03:00:36.367,92925,21174,1
1086,2010-04-26T03:00:36.383,93060,709,1
1087,2010-04-26T03:00:36.383,93060,92869,1
1088,2010-04-26T03:00:36.397,93063,80091,1
1090,2010-04-26T03:00:36.413,93105,61598,1
1091,2010-04-26T03:00:36.413,93147,43805,1
1108,2010-04-26T03:00:36.930,94581,49912,1
1109,2010-04-26T03:00:36.943,94685,94346,1
1111,2010-04-26T03:00:36.960,94755,72128,1
1112,2010-04-26T03:00:36.977,94779,54184,1
1113,2010-04-26T03:00:36.977,94779,379478,1
1114,2010-04-26T03:00:36.990,94860,347528,1
1116,2010-04-26T03:00:37.007,94932,94948,1
1117,2010-04-26T03:00:37.023,94948,94932,1
1118,2010-04-26T03:00:37.023,94959,94103,1
1119,2010-04-26T03:00:37.037,95053,32638,1
1123,2010-04-26T03:00:37.100,95280,5119,1
1124,2010-04-26T03:00:37.117,95379,82838,1
1125,2010-04-26T03:00:37.117,95432,87350,1
1126,2010-04-26T03:00:37.177,95724,31192,1
1127,2010-04-26T03:00:37.177,95767,75218,1
1128,2010-04-26T03:00:37.210,95890,28160,1
1129,2010-04-26T03:00:37.223,95974,95910,1
1130,2010-04-26T03:00:37.240,96042,99996,1
1132,2010-04-26T03:00:37.257,96086,300855,1
1134,2010-04-26T03:00:37.273,96137,83073,1
1135,2010-04-26T03:00:37.273,96137,35699,1
1140,2010-04-26T03:00:37.287,96233,21265,1
1141,2010-04-26T03:00:37.287,96233,17333,1
1143,2010-04-26T03:00:37.303,96285,92001,1
1144,2010-04-26T03:00:37.303,96285,5727,1
1146,2010-04-26T03:00:37.320,96340,94053,1
1147,2010-04-26T03:00:37.320,96340,89245,1
1156,2010-04-26T03:00:37.507,97356,3830,1
1160,2010-04-26T03:00:37.553,97528,2262,1
1161,2010-04-26T03:00:37.567,97637,93526,1
1162,2010-04-26T03:00:37.567,97637,869497,1
1163,2010-04-26T03:00:37.583,97679,85122,1
1167,2010-04-26T03:00:37.663,98096,1597442,1
1168,2010-04-26T03:00:37.677,98205,218699,1
1179,2010-04-26T03:00:37.740,98454,41513,1
1186,2010-04-26T03:00:37.850,98915,10293,1
1187,2010-04-26T03:00:37.850,98915,109762,1
1188,2010-04-26T03:00:37.863,99049,1757,1
1189,2010-04-26T03:00:37.880,99164,101070,1
1190,2010-04-26T03:00:37.943,99479,87405,1
1191,2010-04-26T03:00:37.957,99553,55711,1
1192,2010-04-26T03:00:37.990,99686,3058,1
1195,2010-04-26T03:00:38.020,99790,1341895,1
1196,2010-04-26T03:00:38.020,99790,1178725,1
1197,2010-04-26T03:00:38.037,99846,76267,1
1199,2010-04-26T03:00:38.053,99934,10426,1
1200,2010-04-26T03:00:38.067,99953,69262,1
1201,2010-04-26T03:00:38.083,100053,81306,1
1204,2010-04-26T03:00:38.100,100084,20533,1
1206,2010-04-26T03:00:38.113,100161,1490803,1
1217,2010-04-26T03:00:38.223,100460,44509,1
1219,2010-04-26T03:00:38.287,100795,49002,1
1220,2010-04-26T03:00:38.287,100795,58969,1
1221,2010-04-26T03:00:38.300,100806,95774,1
1224,2010-04-26T03:00:38.363,101066,101275,1
1229,2010-04-26T03:00:38.410,101198,101184,1
1237,2010-04-26T03:00:38.443,101275,101066,1
1238,2010-04-26T03:00:38.457,101347,46136,1
1240,2010-04-26T03:00:38.537,101423,23927,1
1241,2010-04-26T03:00:38.537,101448,75863,1
1242,2010-04-26T03:00:38.550,101468,82620,1
1244,2010-04-26T03:00:38.550,101468,98566,1
1245,2010-04-26T03:00:38.550,101468,59561,1
1247,2010-04-26T03:00:38.597,101719,72401,1
1248,2010-04-26T03:00:38.597,101719,98354,1
1253,2010-04-26T03:00:38.630,101782,92666,1
1254,2010-04-26T03:00:38.630,101782,70124,1
1255,2010-04-26T03:00:38.643,101822,3654,1
1258,2010-04-26T03:00:38.677,101981,80243,1
1259,2010-04-26T03:00:38.677,102009,79923,1
1267,2010-04-26T03:00:38.723,102179,71029,1
1273,2010-04-26T03:00:38.770,102317,43870,1
1275,2010-04-26T03:00:38.833,102591,52315,1
1276,2010-04-26T03:00:38.833,102600,101242,1
1279,2010-04-26T03:00:38.880,102720,47487,1
1280,2010-04-26T03:00:38.893,102801,110839,1
1283,2010-04-26T03:00:38.927,102913,343899,1
1284,2010-04-26T03:00:38.927,102929,92786,1
1285,2010-04-26T03:00:38.927,102956,88359,1
1288,2010-04-26T03:00:39.033,103480,146297,1
1290,2010-04-26T03:00:39.050,103531,74326,1
1297,2010-04-26T03:00:39.127,103918,43778,1
1298,2010-04-26T03:00:39.143,104011,18557,1
1300,2010-04-26T03:00:39.173,104097,182077,1
1302,2010-04-26T03:00:39.190,104158,728434,1
1303,2010-04-26T03:00:39.190,104184,84285,1
1305,2010-04-26T03:00:39.223,104270,20910,1
1317,2010-04-26T03:00:39.457,105007,34571,1
1318,2010-04-26T03:00:39.457,105007,105852,1
1320,2010-04-26T03:00:39.487,105113,26685,1
1321,2010-04-26T03:00:39.487,105113,105049,1
1322,2010-04-26T03:00:39.487,105122,68152,1
1323,2010-04-26T03:00:39.503,105177,599703,1
1328,2010-04-26T03:00:39.550,105477,108768,1
1329,2010-04-26T03:00:39.550,105479,93944,1
1330,2010-04-26T03:00:39.563,105522,82776,1
1331,2010-04-26T03:00:39.563,105544,161349,1
1332,2010-04-26T03:00:39.563,105556,103157,1
1339,2010-04-26T03:00:39.613,105676,2557551,1
1342,2010-04-26T03:00:39.627,105724,105504,1
1344,2010-04-26T03:00:39.660,105836,102317,1
1347,2010-04-26T03:00:39.720,106117,34456,1
1348,2010-04-26T03:00:39.753,106206,52315,1
1350,2010-04-26T03:00:39.767,106298,26158,1
1351,2010-04-26T03:00:39.783,106358,18080,1
1356,2010-04-26T03:00:39.860,106850,43267,1
1357,2010-04-26T03:00:39.877,106862,362694,1
1358,2010-04-26T03:00:39.877,106887,9051,1
1359,2010-04-26T03:00:39.893,106898,78756,1
1360,2010-04-26T03:00:39.893,106907,51950,1
1364,2010-04-26T03:00:39.940,107132,105400,1
1365,2010-04-26T03:00:39.940,107132,79241,1
1367,2010-04-26T03:00:39.970,107249,44285,1
1368,2010-04-26T03:00:39.970,107249,454349,1
1370,2010-04-26T03:00:40.003,107397,56427,1
